name,equipment,focus,link,video,images,description,type
Spell Caster,dumbbells,Abdominals,https://www.bodybuilding.com/exercises/detail/view/name/spell-caster,videocdn.bodybuilding.com/video/mp4/104000/105272m.mp4,"http://www.bodybuilding.com/exercises/exerciseImages/sequences/2041/Male/l/2041_1.jpg,http://www.bodybuilding.com/exercises/exerciseImages/sequences/2041/Male/l/2041_2.jpg,https://assets.bodybuilding.com/images/trackers/exercise/heatmap/13.gif","<ol>
<li>Hold a dumbbells in each hand with a pronated grip. Your feet should be wide with your hips and knees extended. This will be your starting position.</li>
<li>Begin the movement by pulling both of the dumbbellss to one side next to your hip, rotating your torso. </li>
<li>Keeping your arms straight and the dumbbellss parallel to the ground, rotate your torso to swing the weights to your opposite side. </li>
<li>Continue alternating, rotating from one side to the other until the set is complete.</li>
</ol>",Krachttraining
dumbbells V-Sit Cross Jab,dumbbells,Abdominals,https://www.bodybuilding.com/exercises/detail/view/name/dumbbells-v-sit-cross-jab,videocdn.bodybuilding.com/video/mp4/122000/122651m.mp4,"http://www.bodybuilding.com/exercises/exerciseImages/sequences/4751/Male/l/4751_1.jpg,http://www.bodybuilding.com/exercises/exerciseImages/sequences/4751/Male/l/4751_2.jpg,https://assets.bodybuilding.com/images/trackers/exercise/heatmap/13.gif","<ol>
<li> Begin seated on your butt with your knees bent and feet on the ground. Lean your upper body back to form a 45-degree angle with the floor. Bring your feet off the ground so that your body resembles a ""V"" shape. </li>
<li> Grasp a dumbbells in each hand and hold tight to your chest with palms facing each other. This will be your starting position. </li>
<li> While keeping your core tight and maintaining your body's ""V"" position, quickly extend your left arm straight out (similar to a jab) and then bring it back to the starting position while simultaneously punching out with the right arm. </li>
<li> Your torso and legs may slightly rotate side to side opposite of your hands throughout the movementâ€”this is okay.</li>
<li> A punch with each hand counts as one total repetition. Repeat for recommended number of repetitions.  </li>
</ol>",Krachttraining
Spider Crawl,Body Only,Abdominals,https://www.bodybuilding.com/exercises/detail/view/name/spider-crawl,videocdn.bodybuilding.com/video/mp4/104000/105292m.mp4,"http://www.bodybuilding.com/exercises/exerciseImages/sequences/2061/Male/l/2061_1.jpg,http://www.bodybuilding.com/exercises/exerciseImages/sequences/2061/Male/l/2061_2.jpg,https://assets.bodybuilding.com/images/trackers/exercise/heatmap/13.gif","<ol>
<li>Begin in a prone position on the floor. Support your weight on your hands and toes, with your feet together and your body straight. Your arms should be bent to 90 degrees. This will be your starting position.</li>
<li>Initiate the movement by raising one foot off of the ground. Externally rotate the leg and bring the knee toward your elbow, as far forward as possible. </li>
<li>Return this leg to the starting position and repeat on the opposite side. </li>
</ol>",Krachttraining
One-Arm High-Pulley Cable Side Bends,Cable,Abdominals,https://www.bodybuilding.com/exercises/detail/view/name/one-arm-high-pulley-cable-side-bends-,videocdn.bodybuilding.com/video/mp4/94000/95561m.mp4,"http://www.bodybuilding.com/exercises/exerciseImages/sequences/933/Male/l/933_1.jpg,http://www.bodybuilding.com/exercises/exerciseImages/sequences/933/Male/l/933_2.jpg,https://assets.bodybuilding.com/images/trackers/exercise/heatmap/13.gif","<ol>
<li>Connect a standard handle to a tower. Move cable to highest pulley position.</li>
<li>Stand with side to cable. With one hand, reach up and grab handle with underhand grip.</li>
<li>Pull down cable until elbow touches your side and the handle is by your shoulder.</li>
<li>Position feet hip-width apart. Place free hand on hip to help gauge pivot point.</li>
<li>Keep arm in static position. Contract oblique to bring the weight down in a side crunch.</li>
<li>Once you reach maximum contraction, slowly release the weight to the starting position. The weight stack should never be unloaded in a resting position. The aim is constant tension during the set.</li>
<li>Repeat to failure.</li>
<li>Then, reposition and repeat the same series of movements on the opposite side.</li>
</ol>",Krachttraining
Elbow to Knee,Body Only,Abdominals,https://www.bodybuilding.com/exercises/detail/view/name/elbow-to-knee,videocdn.bodybuilding.com/video/mp4/104000/105262m.mp4,"http://www.bodybuilding.com/exercises/exerciseImages/sequences/2031/Male/l/2031_1.jpg,http://www.bodybuilding.com/exercises/exerciseImages/sequences/2031/Male/l/2031_2.jpg,https://assets.bodybuilding.com/images/trackers/exercise/heatmap/13.gif","<ol>
<li>Lie on the floor, crossing your right leg across your bent left knee. Clasp your hands behind your head, beginning with your shoulder blades on the ground. This will be your starting position.</li>
<li>Perform the motion by flexing the spine and rotating your torso to bring the left elbow to the right knee. </li>
<li>Return to the starting position and repeat the movement for the desired number of repetitions before switching sides. </li>
</ol>",Krachttraining
Gorilla Chin/Crunch,Body Only,Abdominals,https://www.bodybuilding.com/exercises/detail/view/name/gorilla-chincrunch,videocdn.bodybuilding.com/video/mp4/38000/39981m.mp4,"http://www.bodybuilding.com/exercises/exerciseImages/sequences/183/Male/l/183_1.jpg,http://www.bodybuilding.com/exercises/exerciseImages/sequences/183/Male/l/183_2.jpg,https://assets.bodybuilding.com/images/trackers/exercise/heatmap/13.gif","<ol>
<li> Hang from a chin-up bar using an underhand grip (palms facing you) that is slightly wider than shoulder width.</li>
<li> Now bend your knees at a 90 degree angle so that the calves are parallel to the floor while the thighs remain perpendicular to it.  This will be your starting position.</li>
<li> As you exhale, pull yourself up while crunching your knees up at the same time until your knees are at chest level.  You will stop going up as soon as your nose is at the same level as the bar.  <strong>Tip:</strong> When you get to this point you should also be finishing the crunch at the same time.</li>
<li> Slowly start to inhale as you return to the starting position.</li>
<li> Repeat for the recommended amount of repetitions.</li>
</ol>",Krachttraining
Hanging Pike,Body Only,Abdominals,https://www.bodybuilding.com/exercises/detail/view/name/hanging-pike,videocdn.bodybuilding.com/video/mp4/118000/119811m.mp4,"http://www.bodybuilding.com/exercises/exerciseImages/sequences/4031/Male/l/4031_1.jpg,http://www.bodybuilding.com/exercises/exerciseImages/sequences/4031/Male/l/4031_2.jpg,https://assets.bodybuilding.com/images/trackers/exercise/heatmap/13.gif","<ol>
<li>  Take a grip on pull-up bars, hanging with your knees together and your body nearly straight. This will be your starting position.</li>
<li> Initiate the movement by flexing the hips, drawing the legs straight up keeping your legs locked in slightly bent position.</li>
<li> Raise the feet as high as possible, attempting to touch the bar above you. Avoid swinging or cheating during the movement.</li>
<li> Return to the starting position under control.</li>
</ol>",Krachttraining
Hanging Oblique Knee Raise,Body Only,Abdominals,https://www.bodybuilding.com/exercises/detail/view/name/hanging-oblique-knee-raise,videocdn.bodybuilding.com/video/mp4/116000/117581m.mp4,"http://www.bodybuilding.com/exercises/exerciseImages/sequences/3273/Male/l/3273_1.jpg,http://www.bodybuilding.com/exercises/exerciseImages/sequences/3273/Male/l/3273_2.jpg,https://assets.bodybuilding.com/images/trackers/exercise/heatmap/13.gif","<ol>
<li> Take a grip on pull-ups bars; hang with your knees together and your body straight. This will be your starting position.</li>
<li> Initiate the movement by flexing the hips and knees, drawing the legs up. Pull the knees up into one side, going above 90 degrees at the hip. Avoid any swinging, performing the exercise with control.</li>
<li> Return to the starting position and then perform the movement to the other side. Continue alternating until the set in complete.</li>
</ol>",Krachttraining
Ab Roller,Other,Abdominals,https://www.bodybuilding.com/exercises/detail/view/name/ab-roller,videocdn.bodybuilding.com/video/mp4/38000/38041m.mp4,"http://www.bodybuilding.com/exercises/exerciseImages/sequences/110/Male/l/110_1.jpg,http://www.bodybuilding.com/exercises/exerciseImages/sequences/110/Male/l/110_2.jpg,https://assets.bodybuilding.com/images/trackers/exercise/heatmap/13.gif","<ol>
<li>Hold the Ab Roller with both hands and kneel on the floor.</li>
<li>Now place the ab roller on the floor in front of you so that you are on all your hands and knees (as in a kneeling push up position).  This will be your starting position.</li>
<li>Slowly roll the ab roller straight forward, stretching your body into a straight position. Tip: Go down as far as you can without touching the floor with your body.  Breathe in during this portion of the movement.</li> <li>After a pause at the stretched position, start pulling yourself back to the starting position as you breathe out.  Tip: Go slowly and keep your abs tight at all times.</li>
</ol>",Krachttraining
Cable Crunch,Cable,Abdominals,https://www.bodybuilding.com/exercises/detail/view/name/cable-crunch,videocdn.bodybuilding.com/video/mp4/38000/38571m.mp4,"http://www.bodybuilding.com/exercises/exerciseImages/sequences/163/Male/l/163_1.jpg,http://www.bodybuilding.com/exercises/exerciseImages/sequences/163/Male/l/163_2.jpg,https://assets.bodybuilding.com/images/trackers/exercise/heatmap/13.gif","<ol>
<li>Kneel below a high pulley that contains a rope attachment.</li>
<li>Grasp cable rope attachment and lower the rope until your hands are placed next to your face.</li>
<li>Flex your hips slightly and allow the weight to hyperextend the lower back. This will be your starting position.</li>
<li>With the hips stationary, flex the waist as you contract the abs so that the elbows travel towards the middle of the thighs. Exhale as you perform this portion of the movement and hold the contraction for a second.</li>
<li>Slowly return to the starting position as you inhale.  <strong>Tip:</strong> Make sure that you keep constant tension on the abs throughout the movement.  Also, do not choose a weight so heavy that the lower back handles the brunt of the work.</li>
<li>Repeat for the recommended amount of repetitions.</li>
</ol>",Krachttraining
Barbell Ab Rollout,Barbell,Abdominals,https://www.bodybuilding.com/exercises/detail/view/name/barbell-ab-rollout,videocdn.bodybuilding.com/video/mp4/38000/38221m.mp4,"http://www.bodybuilding.com/exercises/exerciseImages/sequences/207/Male/l/207_1.jpg,http://www.bodybuilding.com/exercises/exerciseImages/sequences/207/Male/l/207_2.jpg,https://assets.bodybuilding.com/images/trackers/exercise/heatmap/13.gif","<ol>
<li>For this exercise you will need to get into a pushup position, but instead of having your hands of the floor, you will be grabbing on to an Olympic barbell (loaded with 5-10 lbs on each side) instead.  This will be your starting position.</li>
<li>While keeping a slight arch on your back, lift your hips and roll the barbell towards your feet as you exhale. Tip: As you perform the movement, your glutes should be coming up, you should be keeping the abs tight and should maintain your back posture at all times.  Also your arms should be staying perpendicular to the floor throughout the movement.  If you don't, you will work out your shoulders and back more than the abs.</li>
<li>After a second contraction at the top, start to roll the barbell back forward to the starting position slowly as you inhale.</li>
<li>Repeat for the recommended amount of repetitions.</li>
</ol>",Krachttraining
Weighted Crunches,Medicine Ball,Abdominals,https://www.bodybuilding.com/exercises/detail/view/name/weighted-crunches,videocdn.bodybuilding.com/video/mp4/94000/94802m.mp4,"http://www.bodybuilding.com/exercises/exerciseImages/sequences/926/Male/l/926_1.jpg,http://www.bodybuilding.com/exercises/exerciseImages/sequences/926/Male/l/926_2.jpg,https://assets.bodybuilding.com/images/trackers/exercise/heatmap/13.gif","<ol>
<li>Lie flat on your back with your feet flat on the ground or resting on a bench with your knees bent at a 90 degree angle. </li>
<li> Hold a weight to your chest, or you may hold it extended above your torso. This will be your starting position.</li>
<li>  Now, exhale and slowly begin to roll your shoulders off the floor.  Your shoulders should come up off the floor about 4 inches while your lower back remains on the floor. </li>
<li> At the top of the movement, flex your abdominals and hold for a brief pause. </li>
<li> Then inhale and slowly lower yourself back down to the starting position.</li>
</ol>",Krachttraining
Reverse Crunch,Body Only,Abdominals,https://www.bodybuilding.com/exercises/detail/view/name/reverse-crunch,videocdn.bodybuilding.com/video/mp4/40000/40771m.mp4,"http://www.bodybuilding.com/exercises/exerciseImages/sequences/119/Male/l/119_1.jpg,http://www.bodybuilding.com/exercises/exerciseImages/sequences/119/Male/l/119_2.jpg,https://assets.bodybuilding.com/images/trackers/exercise/heatmap/13.gif","<ol>
<li> Lie down on the floor with your legs fully extended and arms to the side of your torso with the palms on the floor.  Your arms should be stationary for the entire exercise.</li>
<li> Move your legs up so that your thighs are perpendicular to the floor and feet are together and parallel to the floor.  This is the starting position.</li>
<li> While inhaling, move your legs towards the torso as you roll your pelvis backwards and you raise your hips off the floor.  At the end of this movement your knees will be touching your chest.</li>
<li> Hold the contraction for a second and move your legs back to the starting position while exhaling.</li>
<li> Repeat for the recommended amount of repetitions.</li>
</ol>",Krachttraining
Decline Crunch,Body Only,Abdominals,https://www.bodybuilding.com/exercises/detail/view/name/decline-crunch,videocdn.bodybuilding.com/video/mp4/52000/53951m.mp4,"http://www.bodybuilding.com/exercises/exerciseImages/sequences/193/Male/l/193_1.jpg,http://www.bodybuilding.com/exercises/exerciseImages/sequences/193/Male/l/193_2.jpg,https://assets.bodybuilding.com/images/trackers/exercise/heatmap/13.gif","<ol>
<li> Secure your legs at the end of the decline bench and lie down.</li>
<li> Now place your hands lightly on either side of your head keeping your elbows in. <strong>Tip:</strong> Don't lock your fingers behind your head.</li>
<li> While pushing the small of your back down in the bench to better isolate your abdominal muscles, begin to roll your shoulders off it.</li>
<li> Continue to push down as hard as you can with your lower back as you contract your abdominals and exhale. Your shoulders should come up off the bench only about four inches, and your lower back should remain on the bench. At the top of the movement, contract your abdominals hard and keep the contraction for a second.  <strong>Tip:</strong> Focus on slow, controlled movement - don't cheat yourself by using momentum.</li>
<li> After the one second contraction, begin to come down slowly again to the starting position as you inhale.</li>
<li> Repeat for the recommended amount of repetitions.</li>
</ol>",Krachttraining
Weighted Suitcase Crunch,Medicine Ball,Abdominals,https://www.bodybuilding.com/exercises/detail/view/name/weighted-suitcase-crunch,videocdn.bodybuilding.com/video/mp4/116000/116582m.mp4,"http://www.bodybuilding.com/exercises/exerciseImages/sequences/2813/Male/l/2813_1.jpg,http://www.bodybuilding.com/exercises/exerciseImages/sequences/2813/Male/l/2813_2.jpg,https://assets.bodybuilding.com/images/trackers/exercise/heatmap/13.gif","<ol>
<li> Begin by lying on your back on the ground. Your legs should be straight and your arms extended behind your head holding a medicine ball. This will be your starting position.</li>
<li> To perform the movement, tuck the knees toward your chest, rotating your pelvis to lift your glutes from the floor. As you do so, flex the spine, bringing your arms back over your head to perform a simultaneous crunch motion.</li>
<li> After a brief pause, return to the starting position.</li>
</ol>",Krachttraining
Oblique Cable Crunch,Cable,Abdominals,https://www.bodybuilding.com/exercises/detail/view/name/oblique-cable-crunch,videocdn.bodybuilding.com/video/mp4/116000/117601m.mp4,"http://www.bodybuilding.com/exercises/exerciseImages/sequences/3293/Male/l/3293_1.jpg,http://www.bodybuilding.com/exercises/exerciseImages/sequences/3293/Male/l/3293_2.jpg,https://assets.bodybuilding.com/images/trackers/exercise/heatmap/13.gif","<ol>
<li> Connect a rope attachment to a high pulley cable and position the mat on the floor in front of you.</li>
<li> Take the rope with both hands and kneel approximately 1-2 feet from the column. Position the rope behind your head; your hands being next to your ears. This will be your starting position.</li>
<li> Keeping your hands in place, pull the rope downward in a crunching motion. As you flex the spine, twist to bring your elbow to the opposite knee.</li>
<li> Pause briefly at the bottom of the motion, and then return to the starting position.</li>
</ol>",Krachttraining
Exercise Ball Pull-In,Exercise Ball,Abdominals,https://www.bodybuilding.com/exercises/detail/view/name/exercise-ball-pull-in,videocdn.bodybuilding.com/video/mp4/38000/39201m.mp4,"http://www.bodybuilding.com/exercises/exerciseImages/sequences/121/Male/l/121_1.jpg,http://www.bodybuilding.com/exercises/exerciseImages/sequences/121/Male/l/121_2.jpg,https://assets.bodybuilding.com/images/trackers/exercise/heatmap/13.gif","<ol>
<li>Place an exercise ball nearby and lay on the floor in front of it with your hands on the floor shoulder width apart in a push-up position.</li>
<li>Now place your lower shins on top of an exercise ball. <strong>Tip:</strong> At this point your legs should be fully extended with the shins on top of the ball and the upper body should be in a push-up type of position being supported by your two extended arms in front of you. This will be your starting position.</li>
<li>While keeping your back completely straight and the upper body stationary, pull your knees in towards your chest as you exhale, allowing the ball to roll forward under your ankles. Squeeze your abs and hold that position for a second.</li>
<li>Now slowly straighten your legs, rolling the ball back to the starting position as you inhale.</li>
<li>Repeat for the recommended amount of repetitions.</li>
<p></p>
</ol>",Krachttraining
Barbell Ab Rollout - On Knees,Barbell,Abdominals,https://www.bodybuilding.com/exercises/detail/view/name/barbell-ab-rollout-on-knees,videocdn.bodybuilding.com/video/mp4/52000/53771m.mp4,"http://www.bodybuilding.com/exercises/exerciseImages/sequences/206/Male/l/206_1.jpg,http://www.bodybuilding.com/exercises/exerciseImages/sequences/206/Male/l/206_2.jpg,https://assets.bodybuilding.com/images/trackers/exercise/heatmap/13.gif","<ol>
<li>Hold an Olympic barbell loaded with 5-10lbs on each side and kneel on the floor.</li>
<li>Now place the barbell on the floor in front of you so that you are on all your hands and knees (as in a kneeling push up position).  This will be your starting position.</li>
<li>Slowly roll the barbell straight forward, stretching your body into a straight position. Tip: Go down as far as you can without touching the floor with your body.  Breathe in during this portion of the movement.</li> <li>After a second pause at the stretched position, start pulling yourself back to the starting position as you breathe out.  Tip: Go slowly and keep your abs tight at all times.</li>
<p><strong>Caution:</strong> This exercise is for advanced level athletes only.  It is also not advised for people with lower back problems or hernias.</p> <p><strong>Variations:</strong> If you are really advanced you can perform the exercise without the knees bent.</p>
</ol>",Krachttraining
Hanging Leg Raise,Body Only,Abdominals,https://www.bodybuilding.com/exercises/detail/view/name/hanging-leg-raise,videocdn.bodybuilding.com/video/mp4/54000/54131m.mp4,"http://www.bodybuilding.com/exercises/exerciseImages/sequences/222/Male/l/222_1.jpg,http://www.bodybuilding.com/exercises/exerciseImages/sequences/222/Male/l/222_2.jpg,https://assets.bodybuilding.com/images/trackers/exercise/heatmap/13.gif","<ol>
<li>Hang from a chin-up bar with both arms extended at arms length in top of you using either a wide grip or a medium grip. The legs should be straight down with the pelvis rolled slightly backwards.   This will be your starting position.</li>
<li>Raise your legs until the torso makes a 90-degree angle with the legs.  Exhale as you perform this movement and hold the contraction for a second or so.</li>
<li>Go back slowly to the starting position as you breathe in.</li>
<li>Repeat for the recommended amount of repetitions.</li>
</ol>",Krachttraining
Kneeling Cable Crunch With Alternating Oblique Twists,Cable,Abdominals,https://www.bodybuilding.com/exercises/detail/view/name/kneeling-cable-crunch-with-alternating-oblique-twists,videocdn.bodybuilding.com/video/mp4/94000/95631m.mp4,"http://www.bodybuilding.com/exercises/exerciseImages/sequences/937/Male/l/937_1.jpg,http://www.bodybuilding.com/exercises/exerciseImages/sequences/937/Male/l/937_2.jpg,https://assets.bodybuilding.com/images/trackers/exercise/heatmap/13.gif","<ol>
<li>Connect a rope attachment to a high pulley cable and position a mat on the floor in front of it.</li>
<li>Grab the rope with both hands and kneel approximately two feet back from the tower.</li>
<li>Position the rope behind your head with your hands by your ears.</li>
<li>Keep your hands in the same place, contract your abs and pull downward on the rope in a crunching movement until your elbows reach your knees.</li>
<li>Pause briefly at the bottom and rise up in a slow and controlled manner until you reach the starting position.</li>
<li>Repeat the same downward movement until youâ€™re halfway down, at which time youâ€™ll begin rotating one of your elbows to the opposite knee.</li>
<li>Again, pause briefly at the bottom and rise up in a slow and controlled manner until you reach the starting position.</li>
<li>Repeat the same movement as before, but alternate the other elbow to the opposite knee.</li>
<li>Continue this series of movements to failure.</li>
</ol>",Krachttraining
